CMDLINE python3 simulation.py
MEM 253.351562 1568892439.4133
MEM 253.351562 1568892439.5484
MEM 253.351562 1568892439.6734
MEM 253.351562 1568892439.7948
MEM 253.351562 1568892439.9187
MEM 253.351562 1568892440.0436
MEM 253.351562 1568892440.1692
MEM 253.351562 1568892440.2977
MEM 253.351562 1568892440.4264
MEM 253.351562 1568892440.5543
MEM 253.351562 1568892440.6727
MEM 253.351562 1568892440.7978
MEM 253.351562 1568892440.9083
MEM 253.351562 1568892441.0217
MEM 253.351562 1568892441.1500
MEM 253.351562 1568892441.2675
MEM 253.351562 1568892441.3912
MEM 253.351562 1568892441.5182
MEM 253.351562 1568892441.6462
MEM 253.351562 1568892441.7568
MEM 253.351562 1568892441.8829
MEM 253.351562 1568892442.0073
MEM 253.351562 1568892442.1314
MEM 219.476562 1568892442.2418
MEM 199.636719 1568892442.3509
MEM 199.636719 1568892442.4617
MEM 200.117188 1568892442.5765
MEM 200.984375 1568892442.6870
MEM 226.902344 1568892442.7980
MEM 226.902344 1568892442.9087
MEM 227.769531 1568892443.0194
MEM 187.109375 1568892443.1307
MEM 187.410156 1568892443.2428
MEM 187.660156 1568892443.3547
MEM 187.914062 1568892443.4691
MEM 188.070312 1568892443.5809
MEM 188.570312 1568892443.6959
MEM 191.957031 1568892443.8130
MEM 191.957031 1568892443.9306
MEM 191.957031 1568892444.0445
MEM 191.957031 1568892444.1614
MEM 191.957031 1568892444.2796
MEM 191.957031 1568892444.3974
MEM 191.957031 1568892444.5151
MEM 191.957031 1568892444.6328
MEM 191.957031 1568892444.7491
MEM 196.460938 1568892444.8601
MEM 197.289062 1568892444.9780
MEM 197.539062 1568892445.0885
MEM 200.886719 1568892445.2055
MEM 200.886719 1568892445.3226
MEM 200.886719 1568892445.4400
MEM 200.886719 1568892445.5538
MEM 200.886719 1568892445.6742
MEM 204.023438 1568892445.7910
MEM 204.281250 1568892445.9083
MEM 207.632812 1568892446.0243
MEM 207.632812 1568892446.1400
MEM 207.632812 1568892446.2576
MEM 207.632812 1568892446.3725
MEM 207.734375 1568892446.4913
MEM 208.367188 1568892446.6090
MEM 208.367188 1568892446.7236
MEM 211.972656 1568892446.8438
MEM 211.972656 1568892446.9543
MEM 211.972656 1568892447.0728
MEM 211.972656 1568892447.1929
MEM 212.027344 1568892447.3077
MEM 171.960938 1568892447.4272
