CMDLINE python3 simulation.py
MEM 1.531250 1568892272.5579
MEM 21.328125 1568892272.6836
MEM 37.152344 1568892272.7929
MEM 46.820312 1568892272.9024
MEM 67.691406 1568892273.0184
MEM 81.300781 1568892273.1281
MEM 87.671875 1568892273.2506
MEM 92.773438 1568892273.3601
MEM 99.179688 1568892273.4793
MEM 99.179688 1568892273.5988
MEM 99.179688 1568892273.7153
MEM 119.296875 1568892273.8286
MEM 105.070312 1568892273.9440
MEM 111.515625 1568892274.0592
MEM 118.039062 1568892274.1685
MEM 125.000000 1568892274.2778
MEM 131.703125 1568892274.3873
MEM 138.554688 1568892274.4965
MEM 145.000000 1568892274.6058
MEM 151.703125 1568892274.7153
MEM 158.406250 1568892274.8253
MEM 240.195312 1568892274.9375
MEM 269.351562 1568892275.0510
MEM 280.097656 1568892275.1625
MEM 197.027344 1568892275.2954
MEM 198.316406 1568892275.4318
MEM 198.316406 1568892275.5632
MEM 178.933594 1568892275.6790
MEM 191.566406 1568892275.8019
MEM 230.468750 1568892275.9290
MEM 230.468750 1568892276.0606
MEM 230.468750 1568892276.1935
MEM 211.222656 1568892276.3215
MEM 251.234375 1568892276.4427
MEM 278.449219 1568892276.5695
MEM 278.449219 1568892276.6998
MEM 317.574219 1568892276.8486
MEM 324.605469 1568892276.9774
MEM 356.664062 1568892277.1079
MEM 225.699219 1568892277.2272
MEM 259.136719 1568892277.3584
MEM 259.136719 1568892277.4835
MEM 264.000000 1568892277.5933
MEM 235.019531 1568892277.7189
MEM 254.378906 1568892277.8490
MEM 293.492188 1568892277.9777
MEM 313.261719 1568892278.1021
MEM 353.191406 1568892278.2227
MEM 254.507812 1568892278.3444
MEM 313.292969 1568892278.4653
MEM 352.378906 1568892278.5988
MEM 352.378906 1568892278.7233
MEM 352.378906 1568892278.8427
MEM 235.238281 1568892278.9673
MEM 235.238281 1568892279.0920
MEM 235.238281 1568892279.2146
MEM 235.238281 1568892279.3436
MEM 235.238281 1568892279.4615
MEM 274.062500 1568892279.5906
MEM 293.574219 1568892279.7202
MEM 332.664062 1568892279.8496
MEM 352.691406 1568892279.9794
MEM 391.457031 1568892280.1085
MEM 391.457031 1568892280.2381
MEM 391.457031 1568892280.3668
MEM 391.457031 1568892280.4960
MEM 391.457031 1568892280.6165
MEM 254.773438 1568892280.7384
MEM 254.773438 1568892280.8625
MEM 254.773438 1568892280.9882
MEM 254.773438 1568892281.1127
MEM 254.773438 1568892281.2550
MEM 293.535156 1568892281.3807
MEM 332.625000 1568892281.5089
MEM 388.421875 1568892281.6327
MEM 391.417969 1568892281.7569
MEM 391.417969 1568892281.8807
MEM 391.417969 1568892282.0068
MEM 391.417969 1568892282.1293
MEM 235.214844 1568892282.2475
MEM 235.214844 1568892282.3653
MEM 235.214844 1568892282.4896
MEM 235.214844 1568892282.6074
MEM 235.214844 1568892282.7311
MEM 293.554688 1568892282.8539
MEM 332.644531 1568892282.9717
MEM 352.445312 1568892283.0986
MEM 391.468750 1568892283.2271
MEM 391.468750 1568892283.3541
MEM 391.468750 1568892283.4812
MEM 391.468750 1568892283.6488
MEM 391.468750 1568892283.7801
MEM 254.812500 1568892283.8979
MEM 254.812500 1568892284.0162
MEM 254.812500 1568892284.1323
MEM 254.812500 1568892284.2493
MEM 254.812500 1568892284.3790
MEM 293.574219 1568892284.4949
MEM 332.664062 1568892284.6106
MEM 352.433594 1568892284.7270
MEM 391.457031 1568892284.8517
MEM 391.457031 1568892284.9778
MEM 391.457031 1568892285.1031
MEM 391.457031 1568892285.2192
MEM 235.253906 1568892285.3371
MEM 235.253906 1568892285.4556
MEM 235.253906 1568892285.5761
MEM 200.992188 1568892285.6851
MEM 200.992188 1568892285.7942
MEM 201.351562 1568892285.9036
MEM 201.351562 1568892286.0130
MEM 216.660156 1568892286.1230
MEM 224.093750 1568892286.2334
MEM 225.894531 1568892286.3431
MEM 227.605469 1568892286.4522
MEM 227.835938 1568892286.5630
MEM 228.367188 1568892286.6731
MEM 228.367188 1568892286.7858
MEM 228.800781 1568892286.8962
MEM 229.285156 1568892287.0121
MEM 229.285156 1568892287.1302
MEM 229.285156 1568892287.2464
MEM 229.285156 1568892287.3635
MEM 229.285156 1568892287.4776
MEM 229.285156 1568892287.5961
MEM 229.285156 1568892287.7124
MEM 229.285156 1568892287.8296
MEM 229.285156 1568892287.9488
MEM 229.285156 1568892288.0703
MEM 229.285156 1568892288.1850
MEM 229.285156 1568892288.3001
MEM 229.285156 1568892288.4167
MEM 229.285156 1568892288.5317
MEM 229.507812 1568892288.6523
MEM 229.949219 1568892288.7683
MEM 230.199219 1568892288.8893
MEM 230.449219 1568892288.9996
MEM 230.449219 1568892289.1164
MEM 230.449219 1568892289.2403
MEM 230.449219 1568892289.3573
MEM 230.449219 1568892289.4713
MEM 230.449219 1568892289.5880
MEM 230.449219 1568892289.7052
MEM 230.449219 1568892289.8205
MEM 230.449219 1568892289.9439
MEM 230.996094 1568892290.0637
MEM 231.199219 1568892290.1801
MEM 231.199219 1568892290.3001
MEM 231.199219 1568892290.4162
MEM 231.199219 1568892290.5324
MEM 231.199219 1568892290.6511
MEM 231.199219 1568892290.7709
MEM 231.703125 1568892290.8864
MEM 232.203125 1568892291.0023
MEM 232.203125 1568892291.1138
MEM 232.203125 1568892291.2307
MEM 232.203125 1568892291.3469
MEM 232.203125 1568892291.4561
MEM 232.203125 1568892291.5730
MEM 232.203125 1568892291.6884
MEM 232.253906 1568892291.8095
