CMDLINE python3 simulation.py
MEM 1.585938 1562420971.7500
MEM 21.523438 1562420971.8695
MEM 40.292969 1562420971.9843
MEM 59.363281 1562420972.0985
MEM 70.839844 1562420972.2147
MEM 84.648438 1562420972.3469
MEM 85.144531 1562420972.4816
MEM 85.144531 1562420972.6154
MEM 85.144531 1562420972.7306
MEM 85.144531 1562420972.8670
MEM 85.144531 1562420973.0008
MEM 85.144531 1562420973.1391
MEM 85.144531 1562420973.2595
MEM 85.144531 1562420973.3775
MEM 85.144531 1562420973.5147
MEM 85.144531 1562420973.6532
MEM 85.144531 1562420973.7766
MEM 85.144531 1562420973.8943
MEM 85.144531 1562420974.0333
MEM 85.144531 1562420974.1731
MEM 85.144531 1562420974.3084
MEM 85.144531 1562420974.4237
MEM 85.144531 1562420974.5577
MEM 85.144531 1562420974.6951
MEM 85.144531 1562420974.8322
MEM 85.144531 1562420974.9698
MEM 85.144531 1562420975.0848
MEM 85.144531 1562420975.2101
MEM 85.144531 1562420975.3431
MEM 85.144531 1562420975.4824
MEM 85.144531 1562420975.6093
MEM 85.144531 1562420975.7272
MEM 85.144531 1562420975.8589
MEM 85.144531 1562420975.9986
MEM 85.144531 1562420976.1229
MEM 85.144531 1562420976.2436
MEM 85.144531 1562420976.3781
MEM 85.144531 1562420976.5263
MEM 85.144531 1562420976.6468
MEM 85.144531 1562420976.7647
MEM 85.144531 1562420976.8996
MEM 85.144531 1562420977.0338
MEM 85.144531 1562420977.1688
MEM 85.144531 1562420977.2897
MEM 85.144531 1562420977.4269
MEM 85.144531 1562420977.5612
MEM 85.144531 1562420977.6845
MEM 85.144531 1562420977.8023
MEM 85.144531 1562420977.9410
MEM 85.144531 1562420978.0779
MEM 85.144531 1562420978.2169
MEM 85.144531 1562420978.3382
MEM 85.144531 1562420978.4576
MEM 85.144531 1562420978.5953
MEM 85.144531 1562420978.7322
MEM 85.144531 1562420978.8654
MEM 85.144531 1562420978.9846
MEM 85.144531 1562420979.1025
MEM 85.144531 1562420979.2315
MEM 85.144531 1562420979.3652
MEM 85.144531 1562420979.4999
MEM 85.144531 1562420979.6150
MEM 85.144531 1562420979.7489
MEM 85.144531 1562420979.8731
MEM 85.144531 1562420980.0023
MEM 85.144531 1562420980.1218
MEM 85.144531 1562420980.2569
MEM 85.144531 1562420980.3950
MEM 85.144531 1562420980.5157
MEM 85.144531 1562420980.6337
MEM 85.144531 1562420980.7687
MEM 85.144531 1562420980.9107
MEM 85.144531 1562420981.0332
MEM 85.144531 1562420981.1509
MEM 85.144531 1562420981.2869
MEM 85.144531 1562420981.4294
MEM 85.144531 1562420981.5647
MEM 85.144531 1562420981.6799
MEM 85.144531 1562420981.8173
MEM 85.144531 1562420981.9575
MEM 85.144531 1562420982.0946
MEM 85.144531 1562420982.2105
MEM 85.144531 1562420982.3422
MEM 85.144531 1562420982.4800
MEM 85.144531 1562420982.5986
MEM 85.144531 1562420982.7204
MEM 85.144531 1562420982.8575
MEM 85.144531 1562420982.9947
MEM 85.144531 1562420983.1133
MEM 85.144531 1562420983.2332
MEM 85.144531 1562420983.3704
MEM 85.144531 1562420983.5102
MEM 85.144531 1562420983.6356
MEM 85.144531 1562420983.7545
MEM 85.144531 1562420983.8916
MEM 85.144531 1562420984.0301
MEM 85.144531 1562420984.1453
MEM 85.144531 1562420984.2654
MEM 85.144531 1562420984.3949
MEM 85.144531 1562420984.5302
MEM 85.144531 1562420984.6453
MEM 85.144531 1562420984.7766
MEM 85.144531 1562420984.9105
MEM 85.144531 1562420985.0457
MEM 85.144531 1562420985.1632
MEM 85.144531 1562420985.3007
MEM 85.144531 1562420985.4245
MEM 85.144531 1562420985.5395
MEM 85.144531 1562420985.6606
MEM 85.144531 1562420985.7924
MEM 85.144531 1562420985.9299
MEM 85.144531 1562420986.0483
MEM 85.144531 1562420986.1671
MEM 85.144531 1562420986.3050
MEM 85.144531 1562420986.4326
MEM 85.144531 1562420986.5474
MEM 85.144531 1562420986.6692
MEM 85.144531 1562420986.8066
MEM 85.144531 1562420986.9420
MEM 85.144531 1562420987.0568
MEM 85.144531 1562420987.1771
