CMDLINE python3 simulation.py
MEM 1.542969 1568892138.5694
MEM 21.593750 1568892138.7031
MEM 38.175781 1568892138.8127
MEM 47.144531 1568892138.9218
MEM 66.410156 1568892139.0315
MEM 75.527344 1568892139.1464
MEM 84.121094 1568892139.2555
MEM 91.296875 1568892139.3763
MEM 97.953125 1568892139.4859
MEM 98.937500 1568892139.5980
MEM 98.937500 1568892139.7133
MEM 98.937500 1568892139.8298
MEM 98.937500 1568892139.9472
MEM 98.937500 1568892140.0683
MEM 102.621094 1568892140.1995
MEM 107.320312 1568892140.3090
MEM 114.023438 1568892140.4186
MEM 120.726562 1568892140.5279
MEM 127.171875 1568892140.6373
MEM 133.617188 1568892140.7466
MEM 140.214844 1568892140.8561
MEM 146.917969 1568892140.9668
MEM 153.363281 1568892141.0760
MEM 160.066406 1568892141.1853
MEM 224.195312 1568892141.2975
MEM 268.730469 1568892141.4072
MEM 270.558594 1568892141.5212
MEM 171.351562 1568892141.6308
MEM 209.339844 1568892141.7713
MEM 210.171875 1568892141.9073
MEM 229.632812 1568892142.0256
MEM 213.851562 1568892142.1504
MEM 207.117188 1568892142.2607
MEM 230.062500 1568892142.3816
MEM 230.062500 1568892142.5159
MEM 194.117188 1568892142.6333
MEM 231.167969 1568892142.7548
MEM 277.816406 1568892142.8913
MEM 277.816406 1568892143.0274
MEM 297.546875 1568892143.1507
MEM 317.125000 1568892143.2744
MEM 347.648438 1568892143.3847
MEM 356.156250 1568892143.5112
MEM 244.945312 1568892143.6278
MEM 258.609375 1568892143.7567
MEM 225.312500 1568892143.8721
MEM 278.886719 1568892143.9890
MEM 234.433594 1568892144.1106
MEM 253.714844 1568892144.2267
MEM 274.402344 1568892144.3529
MEM 312.652344 1568892144.4721
MEM 342.277344 1568892144.5910
MEM 255.890625 1568892144.7111
MEM 312.683594 1568892144.8380
MEM 332.191406 1568892144.9670
MEM 351.585938 1568892145.0950
MEM 351.585938 1568892145.2217
MEM 234.605469 1568892145.3422
MEM 234.605469 1568892145.4652
MEM 234.605469 1568892145.5849
MEM 234.605469 1568892145.7015
MEM 234.605469 1568892145.8178
MEM 234.605469 1568892145.9388
MEM 292.976562 1568892146.0616
MEM 312.453125 1568892146.1868
MEM 351.617188 1568892146.3108
MEM 380.492188 1568892146.4207
MEM 390.804688 1568892146.5418
MEM 390.804688 1568892146.6668
MEM 390.804688 1568892146.7911
MEM 390.804688 1568892146.9089
MEM 390.804688 1568892147.0294
MEM 254.160156 1568892147.1543
MEM 254.160156 1568892147.2779
MEM 254.160156 1568892147.4034
MEM 254.160156 1568892147.5280
MEM 254.160156 1568892147.6519
MEM 273.476562 1568892147.7772
MEM 293.023438 1568892147.9057
MEM 332.011719 1568892148.0206
MEM 346.269531 1568892148.1321
MEM 369.582031 1568892148.2484
MEM 390.871094 1568892148.3717
MEM 390.871094 1568892148.5017
MEM 390.871094 1568892148.6260
MEM 390.871094 1568892148.7427
MEM 234.605469 1568892148.8657
MEM 234.605469 1568892148.9884
MEM 234.605469 1568892149.1117
MEM 234.605469 1568892149.2352
MEM 234.605469 1568892149.3592
MEM 292.980469 1568892149.4827
MEM 329.230469 1568892149.6080
MEM 351.738281 1568892149.7295
MEM 390.828125 1568892149.8499
MEM 390.828125 1568892149.9713
MEM 390.828125 1568892150.0893
MEM 390.828125 1568892150.2128
MEM 254.160156 1568892150.3404
MEM 254.160156 1568892150.4652
MEM 254.160156 1568892150.5882
MEM 254.160156 1568892150.7069
MEM 254.160156 1568892150.8161
MEM 254.160156 1568892150.9252
MEM 254.652344 1568892151.0350
MEM 255.382812 1568892151.1458
MEM 258.890625 1568892151.2565
MEM 258.890625 1568892151.3666
MEM 258.890625 1568892151.4801
MEM 260.531250 1568892151.5896
MEM 260.929688 1568892151.6995
MEM 261.476562 1568892151.8094
MEM 261.726562 1568892151.9205
MEM 261.832031 1568892152.0319
MEM 262.476562 1568892152.1420
MEM 262.476562 1568892152.2575
MEM 262.476562 1568892152.3721
MEM 262.476562 1568892152.4866
MEM 262.476562 1568892152.6035
MEM 262.476562 1568892152.7229
MEM 262.476562 1568892152.8387
MEM 262.476562 1568892152.9487
MEM 262.476562 1568892153.0816
MEM 262.476562 1568892153.1977
MEM 262.476562 1568892153.3167
MEM 262.476562 1568892153.4324
MEM 262.476562 1568892153.5520
MEM 262.476562 1568892153.6667
MEM 262.476562 1568892153.7837
MEM 262.476562 1568892153.8966
MEM 262.476562 1568892154.0147
MEM 262.476562 1568892154.1325
MEM 262.691406 1568892154.2529
MEM 263.390625 1568892154.3740
MEM 263.644531 1568892154.4889
MEM 263.644531 1568892154.6065
MEM 263.644531 1568892154.7162
MEM 263.644531 1568892154.8334
MEM 263.644531 1568892154.9503
MEM 263.644531 1568892155.0692
MEM 263.644531 1568892155.1858
MEM 263.644531 1568892155.3008
MEM 263.644531 1568892155.4151
MEM 263.644531 1568892155.5294
MEM 263.644531 1568892155.6556
MEM 263.644531 1568892155.7749
MEM 263.644531 1568892155.8925
MEM 263.656250 1568892156.0096
MEM 264.144531 1568892156.1267
MEM 264.390625 1568892156.2427
MEM 264.390625 1568892156.3596
MEM 264.390625 1568892156.4698
MEM 264.390625 1568892156.5855
MEM 264.390625 1568892156.7041
MEM 264.539062 1568892156.8220
MEM 265.144531 1568892156.9319
MEM 265.390625 1568892157.0450
MEM 265.390625 1568892157.1555
MEM 192.171875 1568892157.2655
MEM 192.171875 1568892157.3797
MEM 192.171875 1568892157.4949
MEM 192.171875 1568892157.6161
