CMDLINE python simulation.py
MEM 93.464844 1562420831.0182
MEM 93.464844 1562420831.1482
MEM 93.464844 1562420831.2794
MEM 93.464844 1562420831.4296
MEM 93.464844 1562420831.5623
MEM 93.464844 1562420831.6852
MEM 93.464844 1562420831.8222
MEM 93.464844 1562420831.9498
MEM 93.464844 1562420832.0811
MEM 93.464844 1562420832.2128
MEM 93.464844 1562420832.3349
MEM 93.464844 1562420832.4806
MEM 93.464844 1562420832.6183
MEM 93.464844 1562420832.7584
MEM 93.464844 1562420832.8872
MEM 93.464844 1562420833.0099
MEM 93.464844 1562420833.1379
MEM 93.464844 1562420833.2586
MEM 93.464844 1562420833.4053
MEM 93.464844 1562420833.5331
MEM 93.464844 1562420833.6573
MEM 93.464844 1562420833.7874
MEM 93.464844 1562420833.9500
MEM 93.464844 1562420834.0854
MEM 93.464844 1562420834.2077
MEM 93.464844 1562420834.3459
MEM 93.464844 1562420834.4631
MEM 93.464844 1562420834.5849
MEM 93.464844 1562420834.7280
MEM 93.464844 1562420834.8889
MEM 93.464844 1562420835.0376
MEM 93.464844 1562420835.1733
MEM 93.464844 1562420835.3251
MEM 93.464844 1562420835.4477
MEM 93.464844 1562420835.5756
MEM 93.464844 1562420835.7208
MEM 93.464844 1562420835.8574
MEM 93.464844 1562420835.9806
MEM 93.464844 1562420836.1170
MEM 93.464844 1562420836.2457
MEM 93.464844 1562420836.3676
MEM 93.464844 1562420836.5137
MEM 93.464844 1562420836.6478
MEM 93.464844 1562420836.7771
MEM 93.464844 1562420836.9025
MEM 93.464844 1562420837.0429
MEM 93.464844 1562420837.1741
MEM 93.464844 1562420837.3129
MEM 93.464844 1562420837.4576
MEM 93.464844 1562420837.5901
MEM 93.464844 1562420837.7562
MEM 93.464844 1562420837.8995
MEM 93.464844 1562420838.0378
MEM 93.464844 1562420838.1600
MEM 93.464844 1562420838.2795
MEM 93.464844 1562420838.4345
MEM 93.464844 1562420838.5591
MEM 93.464844 1562420838.7103
MEM 93.464844 1562420838.8477
MEM 93.464844 1562420839.0035
MEM 93.464844 1562420839.1547
MEM 93.464844 1562420839.2756
MEM 93.464844 1562420839.4145
MEM 93.464844 1562420839.5353
MEM 93.464844 1562420839.6708
MEM 93.464844 1562420839.8101
MEM 93.464844 1562420839.9403
MEM 93.464844 1562420840.0702
MEM 93.464844 1562420840.1925
MEM 93.464844 1562420840.3285
MEM 93.464844 1562420840.4691
MEM 93.464844 1562420840.5987
MEM 93.464844 1562420840.7385
MEM 93.464844 1562420840.8984
MEM 93.464844 1562420841.0182
MEM 93.464844 1562420841.1648
MEM 93.464844 1562420841.3015
MEM 93.464844 1562420841.4172
MEM 93.464844 1562420841.5385
MEM 93.464844 1562420841.6753
MEM 93.464844 1562420841.8082
MEM 93.464844 1562420841.9261
MEM 93.464844 1562420842.0457
MEM 93.464844 1562420842.1792
MEM 93.464844 1562420842.3135
MEM 93.464844 1562420842.4282
MEM 93.464844 1562420842.5741
