CMDLINE python3 simulation.py
MEM 1.500000 1568894628.4119
MEM 19.449219 1568894628.5298
MEM 25.933594 1568894628.6396
MEM 38.562500 1568894628.7495
MEM 45.960938 1568894628.8594
MEM 61.437500 1568894628.9692
MEM 72.339844 1568894629.0886
MEM 79.843750 1568894629.1985
MEM 83.277344 1568894629.3078
MEM 88.699219 1568894629.4331
MEM 93.218750 1568894629.5430
MEM 97.808594 1568894629.6624
MEM 97.808594 1568894629.7811
MEM 97.808594 1568894629.9000
MEM 97.808594 1568894630.0173
MEM 100.613281 1568894630.1514
MEM 105.390625 1568894630.2610
MEM 112.351562 1568894630.3706
MEM 119.312500 1568894630.4801
MEM 126.015625 1568894630.5895
MEM 132.976562 1568894630.6991
MEM 139.250000 1568894630.8091
MEM 145.179688 1568894630.9234
MEM 151.625000 1568894631.0389
MEM 158.070312 1568894631.1544
MEM 266.839844 1568894631.2718
MEM 266.843750 1568894631.3856
MEM 141.976562 1568894631.4967
MEM 195.070312 1568894631.6213
MEM 195.843750 1568894631.7566
MEM 195.843750 1568894631.8811
MEM 161.707031 1568894632.0045
MEM 224.492188 1568894632.1206
MEM 228.101562 1568894632.2431
MEM 228.101562 1568894632.3766
MEM 196.808594 1568894632.4945
MEM 248.808594 1568894632.6114
MEM 275.750000 1568894632.7484
MEM 275.750000 1568894632.8910
MEM 314.980469 1568894633.0272
MEM 314.980469 1568894633.1637
MEM 354.320312 1568894633.2956
MEM 216.054688 1568894633.4134
MEM 256.519531 1568894633.5442
MEM 225.218750 1568894633.6603
MEM 277.566406 1568894633.7769
MEM 232.339844 1568894633.8958
MEM 271.210938 1568894634.0230
MEM 290.785156 1568894634.1527
MEM 330.062500 1568894634.2825
MEM 369.152344 1568894634.4007
MEM 271.234375 1568894634.5208
MEM 310.578125 1568894634.6464
MEM 330.085938 1568894634.7723
MEM 349.597656 1568894634.9019
MEM 349.707031 1568894635.0323
MEM 349.707031 1568894635.1523
MEM 349.707031 1568894635.2767
MEM 349.707031 1568894635.4063
MEM 349.707031 1568894635.5332
MEM 349.707031 1568894635.6651
MEM 349.707031 1568894635.7950
MEM 349.707031 1568894635.9215
MEM 369.019531 1568894636.0810
MEM 447.324219 1568894636.2049
MEM 447.324219 1568894636.3242
MEM 447.324219 1568894636.4480
MEM 447.324219 1568894636.5642
MEM 447.324219 1568894636.6857
MEM 447.582031 1568894636.8114
MEM 447.582031 1568894636.9317
MEM 447.582031 1568894637.0533
MEM 447.582031 1568894637.1741
MEM 447.582031 1568894637.2919
MEM 447.582031 1568894637.4390
MEM 447.582031 1568894637.5608
MEM 447.582031 1568894637.6793
MEM 447.582031 1568894637.7979
MEM 476.191406 1568894637.9235
MEM 506.183594 1568894638.0416
MEM 506.183594 1568894638.1605
MEM 506.183594 1568894638.2816
MEM 506.183594 1568894638.4032
MEM 506.183594 1568894638.5229
MEM 506.183594 1568894638.6399
MEM 506.183594 1568894638.7613
MEM 506.183594 1568894638.8795
MEM 506.183594 1568894639.0239
MEM 506.183594 1568894639.1481
MEM 506.183594 1568894639.2841
MEM 506.183594 1568894639.4167
MEM 527.757812 1568894639.5423
MEM 584.554688 1568894639.6691
MEM 623.578125 1568894639.7987
MEM 643.156250 1568894639.9277
MEM 643.156250 1568894640.0609
MEM 643.156250 1568894640.1883
MEM 643.156250 1568894640.3273
MEM 643.156250 1568894640.4468
MEM 643.156250 1568894640.5679
MEM 643.156250 1568894640.6844
MEM 643.156250 1568894640.8476
MEM 643.156250 1568894640.9669
MEM 643.156250 1568894641.0832
MEM 643.156250 1568894641.2029
MEM 643.156250 1568894641.3292
MEM 643.156250 1568894641.4523
MEM 662.925781 1568894641.5693
MEM 682.437500 1568894641.6977
MEM 682.437500 1568894641.8181
MEM 682.437500 1568894641.9359
MEM 682.437500 1568894642.0535
MEM 682.437500 1568894642.1712
MEM 682.437500 1568894642.2990
MEM 682.437500 1568894642.4228
MEM 682.437500 1568894642.5460
MEM 682.437500 1568894642.6706
MEM 682.437500 1568894642.8216
MEM 682.437500 1568894642.9481
MEM 682.437500 1568894643.0757
MEM 682.437500 1568894643.2040
MEM 682.437500 1568894643.3714
MEM 682.437500 1568894643.5373
MEM 682.437500 1568894643.6796
MEM 682.437500 1568894643.8231
MEM 682.437500 1568894643.9466
MEM 682.437500 1568894644.0854
MEM 682.437500 1568894644.2070
MEM 682.437500 1568894644.3335
MEM 682.437500 1568894644.4570
MEM 682.437500 1568894644.5928
MEM 682.437500 1568894644.7200
MEM 682.437500 1568894644.8426
MEM 682.437500 1568894644.9963
MEM 682.437500 1568894645.1344
MEM 682.437500 1568894645.3028
MEM 682.437500 1568894645.4223
MEM 682.437500 1568894645.5650
MEM 682.437500 1568894645.6868
MEM 682.437500 1568894645.8114
MEM 682.437500 1568894645.9319
MEM 682.437500 1568894646.0578
MEM 682.437500 1568894646.1874
MEM 682.437500 1568894646.3122
MEM 682.437500 1568894646.4361
MEM 682.437500 1568894646.5641
MEM 682.437500 1568894646.6859
MEM 682.437500 1568894646.8087
MEM 682.437500 1568894646.9383
MEM 682.437500 1568894647.0698
MEM 682.437500 1568894647.1939
MEM 682.437500 1568894647.3172
MEM 682.437500 1568894647.4424
MEM 682.437500 1568894647.5666
MEM 682.437500 1568894647.6943
MEM 682.437500 1568894647.8211
MEM 682.437500 1568894647.9527
MEM 682.437500 1568894648.0807
MEM 682.437500 1568894648.2168
MEM 701.941406 1568894648.3420
MEM 721.519531 1568894648.4769
MEM 682.750000 1568894648.6102
MEM 682.750000 1568894648.7354
MEM 682.750000 1568894648.8644
MEM 682.750000 1568894648.9978
MEM 682.750000 1568894649.1219
MEM 682.750000 1568894649.2458
MEM 682.750000 1568894649.3898
MEM 682.750000 1568894649.5152
MEM 682.750000 1568894649.6349
MEM 682.750000 1568894649.7596
MEM 682.750000 1568894649.8834
MEM 682.750000 1568894650.0064
MEM 682.750000 1568894650.1302
MEM 682.750000 1568894650.2469
MEM 682.750000 1568894650.3718
MEM 682.750000 1568894650.4893
MEM 682.750000 1568894650.6264
MEM 682.750000 1568894650.7506
MEM 682.750000 1568894650.9024
MEM 682.750000 1568894651.0277
MEM 682.750000 1568894651.1479
MEM 682.750000 1568894651.2710
MEM 682.750000 1568894651.3958
MEM 682.750000 1568894651.5138
MEM 682.750000 1568894651.6369
MEM 682.750000 1568894651.7593
MEM 682.750000 1568894651.8808
MEM 682.750000 1568894652.0012
MEM 682.750000 1568894652.1193
MEM 682.750000 1568894652.2371
MEM 682.750000 1568894652.3606
MEM 682.750000 1568894652.4811
MEM 682.750000 1568894652.6087
MEM 682.750000 1568894652.7292
MEM 682.750000 1568894652.8519
MEM 702.000000 1568894652.9693
MEM 702.000000 1568894653.0860
MEM 702.000000 1568894653.2145
MEM 702.000000 1568894653.3392
MEM 702.000000 1568894653.4680
MEM 702.000000 1568894653.6103
MEM 702.000000 1568894653.7384
MEM 702.000000 1568894653.8707
MEM 702.000000 1568894654.0021
MEM 702.000000 1568894654.1348
MEM 702.000000 1568894654.2701
MEM 702.000000 1568894654.3888
MEM 702.000000 1568894654.5299
MEM 741.125000 1568894654.6530
MEM 779.375000 1568894654.7835
MEM 780.371094 1568894654.9096
MEM 780.433594 1568894655.0265
MEM 780.433594 1568894655.1765
MEM 780.433594 1568894655.3094
MEM 780.433594 1568894655.4413
MEM 780.433594 1568894655.5694
MEM 780.433594 1568894655.7113
MEM 780.433594 1568894655.8419
MEM 780.433594 1568894655.9747
MEM 741.492188 1568894656.1017
MEM 741.492188 1568894656.2225
MEM 741.492188 1568894656.3512
MEM 741.492188 1568894656.4780
MEM 741.492188 1568894656.5974
MEM 741.492188 1568894656.7156
MEM 741.492188 1568894656.8349
MEM 741.492188 1568894656.9527
MEM 741.492188 1568894657.0898
MEM 741.492188 1568894657.2176
MEM 741.492188 1568894657.3479
MEM 741.492188 1568894657.4648
MEM 741.492188 1568894657.5884
MEM 741.492188 1568894657.7143
MEM 741.492188 1568894657.8377
MEM 741.492188 1568894657.9536
MEM 741.492188 1568894658.0762
MEM 741.492188 1568894658.2008
MEM 741.492188 1568894658.3188
MEM 741.492188 1568894658.4439
MEM 741.492188 1568894658.5685
MEM 741.492188 1568894658.6918
MEM 741.492188 1568894658.8161
MEM 741.492188 1568894658.9361
MEM 741.492188 1568894659.0550
MEM 741.492188 1568894659.1843
MEM 741.492188 1568894659.3229
MEM 741.492188 1568894659.4791
MEM 741.492188 1568894659.6806
MEM 741.492188 1568894659.8174
MEM 741.492188 1568894659.9647
MEM 741.492188 1568894660.1137
MEM 741.492188 1568894660.2583
MEM 741.492188 1568894660.4217
MEM 741.492188 1568894660.5720
MEM 741.492188 1568894660.7317
MEM 741.492188 1568894660.8645
MEM 741.492188 1568894660.9835
MEM 741.492188 1568894661.1463
MEM 741.492188 1568894661.2819
