CMDLINE python3 simulation.py
MEM 1.531250 1568892336.4729
MEM 21.566406 1568892336.5950
MEM 37.996094 1568892336.7078
MEM 47.082031 1568892336.8170
MEM 70.703125 1568892336.9490
MEM 81.679688 1568892337.0612
MEM 88.375000 1568892337.1852
MEM 93.105469 1568892337.2945
MEM 98.585938 1568892337.4105
MEM 98.585938 1568892337.5301
MEM 98.585938 1568892337.6460
MEM 125.003906 1568892337.7569
MEM 103.625000 1568892337.8837
MEM 109.554688 1568892337.9931
MEM 116.257812 1568892338.1026
MEM 123.476562 1568892338.2120
MEM 130.179688 1568892338.3215
MEM 137.230469 1568892338.4308
MEM 143.933594 1568892338.5401
MEM 150.636719 1568892338.6496
MEM 157.082031 1568892338.7588
MEM 239.386719 1568892338.8710
MEM 221.828125 1568892338.9812
MEM 275.421875 1568892339.0910
MEM 189.687500 1568892339.2121
MEM 190.460938 1568892339.3473
MEM 190.460938 1568892339.4724
MEM 208.246094 1568892339.5969
MEM 195.664062 1568892339.7094
MEM 210.359375 1568892339.8422
MEM 210.359375 1568892339.9788
MEM 173.656250 1568892340.0967
MEM 230.812500 1568892340.2225
MEM 258.167969 1568892340.3534
MEM 258.167969 1568892340.4689
MEM 277.835938 1568892340.5984
MEM 297.414062 1568892340.7300
MEM 336.562500 1568892340.8719
MEM 336.625000 1568892340.9975
MEM 238.875000 1568892341.1261
MEM 238.875000 1568892341.2543
MEM 238.734375 1568892341.3703
MEM 214.691406 1568892341.5000
MEM 234.046875 1568892341.6166
MEM 273.265625 1568892341.7357
MEM 312.511719 1568892341.8587
MEM 248.242188 1568892341.9757
MEM 284.296875 1568892342.1039
MEM 312.542969 1568892342.2268
MEM 332.054688 1568892342.3603
MEM 332.054688 1568892342.4818
MEM 332.054688 1568892342.6030
MEM 332.054688 1568892342.7248
MEM 332.054688 1568892342.8454
MEM 332.054688 1568892342.9768
MEM 332.054688 1568892343.0992
MEM 351.621094 1568892343.2205
MEM 371.132812 1568892343.3391
MEM 404.125000 1568892343.4569
MEM 433.257812 1568892343.5663
MEM 449.500000 1568892343.6886
MEM 449.500000 1568892343.8109
MEM 449.500000 1568892343.9399
MEM 449.500000 1568892344.0744
MEM 449.500000 1568892344.1967
MEM 449.500000 1568892344.3202
MEM 449.500000 1568892344.4459
MEM 449.500000 1568892344.5769
MEM 449.500000 1568892344.7103
MEM 449.500000 1568892344.8353
MEM 449.500000 1568892344.9577
MEM 451.562500 1568892345.0932
MEM 500.289062 1568892345.2158
MEM 508.339844 1568892345.3371
MEM 508.339844 1568892345.4686
MEM 508.417969 1568892345.5920
MEM 508.417969 1568892345.7159
MEM 508.417969 1568892345.8411
MEM 508.417969 1568892345.9648
MEM 508.417969 1568892346.1105
MEM 508.417969 1568892346.2345
MEM 508.417969 1568892346.3602
MEM 530.261719 1568892346.4879
MEM 569.289062 1568892346.6154
MEM 598.605469 1568892346.7328
MEM 615.660156 1568892346.8524
MEM 645.308594 1568892346.9735
MEM 645.308594 1568892347.0886
MEM 645.308594 1568892347.2123
MEM 645.308594 1568892347.3331
MEM 645.308594 1568892347.4636
MEM 645.308594 1568892347.5887
MEM 645.308594 1568892347.7155
MEM 645.308594 1568892347.8454
MEM 645.308594 1568892347.9623
MEM 606.441406 1568892348.0807
MEM 606.441406 1568892348.1966
MEM 606.441406 1568892348.3137
MEM 606.441406 1568892348.4315
MEM 606.441406 1568892348.5472
MEM 606.441406 1568892348.6727
MEM 606.441406 1568892348.7963
MEM 606.441406 1568892348.9118
MEM 606.441406 1568892349.0309
MEM 606.441406 1568892349.1468
MEM 606.441406 1568892349.2606
MEM 606.867188 1568892349.3703
MEM 607.613281 1568892349.4802
MEM 610.968750 1568892349.5915
MEM 610.968750 1568892349.7026
MEM 611.863281 1568892349.8126
MEM 612.824219 1568892349.9227
MEM 613.042969 1568892350.0343
MEM 613.289062 1568892350.1447
MEM 613.289062 1568892350.2574
MEM 613.996094 1568892350.3676
MEM 614.117188 1568892350.4777
MEM 614.117188 1568892350.5940
MEM 614.117188 1568892350.7074
MEM 614.117188 1568892350.8210
MEM 614.117188 1568892350.9384
MEM 614.117188 1568892351.0485
MEM 614.117188 1568892351.1643
MEM 614.117188 1568892351.2842
MEM 614.117188 1568892351.4002
MEM 614.496094 1568892351.5150
MEM 614.496094 1568892351.6347
MEM 614.496094 1568892351.7444
MEM 614.496094 1568892351.8661
MEM 614.496094 1568892351.9765
MEM 614.496094 1568892352.0874
MEM 614.496094 1568892352.2000
MEM 614.496094 1568892352.3175
MEM 614.500000 1568892352.4331
MEM 614.500000 1568892352.5517
MEM 614.500000 1568892352.6682
MEM 614.500000 1568892352.7857
MEM 614.500000 1568892352.8962
MEM 614.500000 1568892353.0110
MEM 614.562500 1568892353.1263
MEM 614.812500 1568892353.2433
MEM 615.062500 1568892353.3581
MEM 615.062500 1568892353.4784
MEM 615.062500 1568892353.5904
MEM 615.062500 1568892353.7055
MEM 615.062500 1568892353.8203
MEM 615.062500 1568892353.9312
MEM 615.203125 1568892354.0415
